,rating,n_reviews,f_rating,s_rating,v_rating,about,price_range,s_diets,cuisines,features,Name,URL,name_letter
172,4.5,208 ,4.5,4.5,4.5,,?2 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, European",,La Piccola Deli Pasticceria,https://www.tripadvisor.com/Restaurant_Review-g186338-d1316717-Reviews-La_Piccola_Deli_Pasticceria-London_England.html,lapiccoladelipasticceria
173,4.5,1549 ,4.5,5.0,4.0,Relaxed luxury in the heart of Leicester Square. Our ethos embraces the art of shared dining with a sophisticated yet unassuming setting. Leicester Square Kitchen will showcase an exquisite selection ,?20 - ?55,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mexican, Peruvian, Healthy","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Car",Leicester Square Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d12392823-Reviews-Leicester_Square_Kitchen-London_England.html,leicestersquarekitchen
174,4.5,249 ,4.5,5.0,4.5,,,"Breakfast, Lunch, Brunch, Dinner","British, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Sunday Champagne Brunch at The Landmark London,https://www.tripadvisor.com/Restaurant_Review-g186338-d3869685-Reviews-Sunday_Champagne_Brunch_at_The_Landmark_London-London_England.html,sundaychampagnebrunchatthelandmarklondon
175,4.5,590 ,4.5,4.5,4.5,,?18 - ?56,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Wine Bar, French, European",,Chez Elles Bistroquet,https://www.tripadvisor.com/Restaurant_Review-g186338-d3296245-Reviews-Chez_Elles_Bistroquet-London_England.html,chezellesbistroquet
176,4.5,548 ,4.5,4.0,4.0,,?10 - ?18,"Vegetarian Friendly, Vegan Options, Halal, Kosher, Gluten Free Options","International, Healthy",,Wulf & Lamb - Chelsea,https://www.tripadvisor.com/Restaurant_Review-g186338-d13006972-Reviews-Wulf_Lamb_Chelsea-London_England.html,wulf&lamb-chelsea
177,4.5,1258 ,4.5,4.5,4.0,,,"Lunch, Dinner, Brunch","Grill, Diner, Steakhouse, British","Vegetarian Friendly, Gluten Free Options",Steak & Co Piccadilly Circus,https://www.tripadvisor.com/Restaurant_Review-g186338-d11798530-Reviews-Steak_Co_Piccadilly_Circus-London_England.html,steak&copiccadillycircus
178,4.5,217 ,5.0,4.5,4.5,,?5 - ?18,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British, Healthy, Cafe",,Apres Food Co.,https://www.tripadvisor.com/Restaurant_Review-g186338-d12029806-Reviews-Apres_Food_Co-London_England.html,apresfoodco.
179,4.5,1238 ,4.5,4.5,4.5,,?50 - ?100,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European",,Bel Canto Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1367676-Reviews-Bel_Canto_Restaurant-London_England.html,belcantorestaurant
180,4.5,980 ,4.5,4.5,4.5,,?14 - ?54,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Israeli, Mediterranean, Healthy, Fusion",,CERU,https://www.tripadvisor.com/Restaurant_Review-g186338-d11894306-Reviews-CERU-London_England.html,ceru
181,4.5,898 ,4.5,4.5,4.5,"Set in LondonÃÂ¢ÃÂÃÂs most exclusive neighbourhood, May Fair Kitchen offers a menu of contemporary Italian and Spanish small plates, entrÃÂÃÂ©es and specialities, in addition to signature dish",?30 - ?84,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, Southern-Italian, Catalan","Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Card",May Fair Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d6612075-Reviews-May_Fair_Kitchen-London_England.html,mayfairkitchen
182,4.5,387 ,4.5,4.5,4.5,,?12 - ?18,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",,Mangia Bene,https://www.tripadvisor.com/Restaurant_Review-g186338-d7621391-Reviews-Mangia_Bene-London_England.html,mangiabene
183,4.5,342 ,4.5,5.0,4.5,,?22 - ?60,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Japanese, Mediterranean, European, Central-Italian",,Bloomsbury Street Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d17763477-Reviews-Bloomsbury_Street_Kitchen-London_England.html,bloomsburystreetkitchen
184,4.5,363 ,4.5,4.5,4.5,"Lovers of great food, fine wine and good music have grown fond of LondonÃÂ¢ÃÂÃÂs very own 28ÃÂÃÂºÃÂ¢ÃÂÃÂ50ÃÂÃÂº group. Covent GardenÃÂ¢ÃÂÃÂs brand new 28ÃÂÃÂ°- 50ÃÂÃÂ° is th",?26 - ?40,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, Wine Bar, Central European, British","Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Family style, Gift Cards Available",28-50 Wine Bar & Kitchen Covent Garden,https://www.tripadvisor.com/Restaurant_Review-g186338-d19398383-Reviews-28_50_Wine_Bar_Kitchen_Covent_Garden-London_England.html,28-50winebar&kitchencoventgarden
185,4.5,529 ,4.0,4.0,4.0,,?18 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Steakhouse,,Miller & Carter,https://www.tripadvisor.com/Restaurant_Review-g186338-d12873054-Reviews-Miller_Carter-London_England.html,miller&carter
186,4.5,583 ,4.0,3.5,3.5,"Our Italian Restaurant in Broadway Market, Hackney offers a menu with a combination of classic Italian dishes and contemporary twists. From great ÃÂ¢ÃÂÃÂantipastiÃÂ¢ÃÂÃÂ to the home made ÃÂ",?6 - ?18,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean, European, Tuscan, Romana, Lazio, Sicilian, Sardinian, Central-Italian, Southern-Italian","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi",Bella Vita,https://www.tripadvisor.com/Restaurant_Review-g186338-d3681920-Reviews-Bella_Vita-London_England.html,bellavita
187,4.5,939 ,4.5,4.5,4.5,,?72 - ?108,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British",,AW Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d2433450-Reviews-AW_Restaurant-London_England.html,awrestaurant
188,4.5,367 ,4.0,4.5,4.0,,,"Breakfast, Lunch, Dinner, Brunch, Drinks","Bar, British, Gastropub","Vegetarian Friendly, Vegan Options, Gluten Free Options",Revolution Putney,https://www.tripadvisor.com/Restaurant_Review-g186338-d13313894-Reviews-Revolution_Putney-London_England.html,revolutionputney
189,4.5,570 ,4.5,4.5,4.5,"Pane Cunzato - Pizza & more is a new Italian Restaurant where you can taste typical dishes of southern Italy, such as the Pane Cunzato, a base of homemade bread with organic flour and seasoned with fr",?12 - ?18,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean, European, Sicilian, Southern-Italian","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",Pane Cunzato - Pizza & more,https://www.tripadvisor.com/Restaurant_Review-g186338-d13456962-Reviews-Pane_Cunzato_Pizza_more-London_England.html,panecunzato-pizza&more
190,4.5,234 ,5.0,4.5,4.5,,?23 - ?64,"Vegetarian Friendly, Gluten Free Options","European, British",,Anglo,https://www.tripadvisor.com/Restaurant_Review-g186338-d10190924-Reviews-Anglo-London_England.html,anglo
192,4.5,326 ,4.5,4.5,4.5,,,"Lunch, Dinner, Brunch","European, Contemporary, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",Salut!,https://www.tripadvisor.com/Restaurant_Review-g186338-d9700191-Reviews-Salut-London_England.html,salut!
193,4.5,686 ,4.5,4.5,4.5,,?13 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, Turkish, Middle Eastern, Grill",,Midpoint Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d13559578-Reviews-Midpoint_Restaurant-London_England.html,midpointrestaurant
194,4.5,527 ,4.5,4.5,4.5,"Chops and steaks with seasonal sides, wine on tap and cocktails for a fiver. Our second restaurant, this time in the basement of an old electricity substation on the site of London's first ever meat m",?18 - ?36,Gluten Free Options,"Steakhouse, British, Grill","Reservations, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Blacklock City,https://www.tripadvisor.com/Restaurant_Review-g186338-d12308526-Reviews-Blacklock_City-London_England.html,blacklockcity
195,4.5,326 ,5.0,4.5,4.5,,?19 - ?72,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British, Welsh",,Tom Simmons - Tower Bridge,https://www.tripadvisor.com/Restaurant_Review-g186338-d12556244-Reviews-Tom_Simmons_Tower_Bridge-London_England.html,tomsimmons-towerbridge
196,4.0,650 ,3.5,3.5,3.5,"taste of india, we have a passion for making sure customers have an enjoyable time ÃÂ¢ÃÂÃÂ delicious genuine Indian food, and great staff. From our start in 2014, We unusually combine a panoramic",?22 - ?42,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",Indian,"Full Bar, Delivery, Takeout, Reservations, Buffet, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Table Service",Taste of India,https://www.tripadvisor.com/Restaurant_Review-g186338-d3701376-Reviews-Taste_of_India-London_England.html,tasteofindia
197,4.5,1236 ,4.5,4.5,4.0,"Dalloway Terrace is one of London's most popular outdoor, all day dining restaurants. Named after the eponymous character created by Virginia Woolf, an author whose name will forever be associated wit",?10 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British, Central European","Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa",Dalloway Terrace,https://www.tripadvisor.com/Restaurant_Review-g186338-d10027950-Reviews-Dalloway_Terrace-London_England.html,dallowayterrace
198,4.5,336 ,4.5,4.5,4.5,,?24 - ?36,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Street Food",,Dhaba@49,https://www.tripadvisor.com/Restaurant_Review-g186338-d12926680-Reviews-Dhaba_49-London_England.html,dhaba@49
201,4.5,272 ,5.0,4.5,4.5,,?10 - ?50,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Latin, Healthy, South American, Ecuadorean, Fusion",,El Inca Plebeyo,https://www.tripadvisor.com/Restaurant_Review-g186338-d8528939-Reviews-El_Inca_Plebeyo-London_England.html,elincaplebeyo
202,5.0,116 ,5.0,5.0,5.0,,,"Lunch, Dinner, Brunch","Spanish, Italian, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",Volare,https://www.tripadvisor.com/Restaurant_Review-g186338-d9747239-Reviews-Volare-London_England.html,volare
203,4.5,389 ,5.0,5.0,4.5,,?12 - ?60,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Seafood, Sushi, Grill",,Laurent at Cafe Royal,https://www.tripadvisor.com/Restaurant_Review-g186338-d14088539-Reviews-Laurent_at_Cafe_Royal-London_England.html,laurentatcaferoyal
204,4.5,1566 ,4.0,4.0,3.5,,?11 - ?45,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Healthy",,Khan's of Kensington,https://www.tripadvisor.com/Restaurant_Review-g186338-d1016670-Reviews-Khan_s_of_Kensington-London_England.html,khansofkensington
206,4.5,1646 ,4.5,4.5,4.5,,?48 - ?68,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European, British",,Chez Bruce,https://www.tripadvisor.com/Restaurant_Review-g186338-d718485-Reviews-Chez_Bruce-London_England.html,chezbruce
207,4.0,717 ,4.0,4.0,4.0,,?8 - ?19,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean",,Bella Italia,https://www.tripadvisor.com/Restaurant_Review-g186338-d680416-Reviews-Bella_Italia-London_England.html,bellaitalia
209,4.0,951 ,4.0,4.0,3.5,"Your ticket to celebrating life the Latin American way with authentic Latin American food, cocktails & hospitality",?6 - ?19,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mexican, Brazilian, Latin","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Las Iguanas The O2,https://www.tripadvisor.com/Restaurant_Review-g186338-d815996-Reviews-Las_Iguanas_The_O2-London_England.html,lasiguanastheo2
210,4.5,532 ,4.5,5.0,4.5,,?12 - ?42,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Mediterranean, European",,Luna Nuova,https://www.tripadvisor.com/Restaurant_Review-g186338-d2241866-Reviews-Luna_Nuova-London_England.html,lunanuova
212,5.0,133 ,4.5,4.5,4.5,"Welcome to RODFAI which means ""train"" in Thai. So hop on and hop off the RODFAI and let our food take you on a journey for a truly authentic Thai experience.",?10 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Thai","Delivery, Takeout, Reservations, Seating, Serves Alcohol, Table Service",Rodfai Thai street food,https://www.tripadvisor.com/Restaurant_Review-g186338-d15554750-Reviews-Rodfai_Thai_street_food-London_England.html,rodfaithaistreetfood
213,4.5,1118 ,4.5,4.5,4.5,La Trompette opened in 2001 and serves some of the best food in London but without the formality or prices associated with the capitalÃÂ¢ÃÂÃÂs top end establishments.We closed at the beginning of,?29 - ?59,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European","Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations, Private Dining, Accepts Credit Cards, Table Se",La Trompette,https://www.tripadvisor.com/Restaurant_Review-g186338-d719657-Reviews-La_Trompette-London_England.html,latrompette
214,4.5,190 ,4.5,4.5,4.5,We met Jolie earlier this year and we got obsessed and fascinated by her and her stories. So much so that we decided to open a ÃÂ¢ÃÂÃÂsalonÃÂ¢ÃÂÃÂ inspired by her travels and journeys in and,?24 - ?48,"Vegetarian Friendly, Vegan Options","French, European","Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Jolie Chelsea,https://www.tripadvisor.com/Restaurant_Review-g186338-d21231404-Reviews-Jolie_Chelsea-London_England.html,joliechelsea
215,4.5,173 ,5.0,4.5,4.5,"The Petite Coree is LondonÃÂ¢ÃÂÃÂs modern Korean food restaurant, located West Hampstead near the station. We offer a unique & modern Korean beverage & food experience.",?18 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Korean, Healthy","Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts American Express, Accepts Credit Cards, Table Service",The Petite Coree,https://www.tripadvisor.com/Restaurant_Review-g186338-d7381901-Reviews-The_Petite_Coree-London_England.html,thepetitecoree
216,4.5,268 ,4.5,4.5,4.5,,?4 - ?10,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, European, British, International",,New London Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d6609446-Reviews-New_London_Cafe-London_England.html,newlondoncafe
217,4.5,290 ,5.0,4.5,4.5,,,"Lunch, Dinner",International,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Scully St James's,https://www.tripadvisor.com/Restaurant_Review-g186338-d13698096-Reviews-Scully_St_James_s-London_England.html,scullystjamess
218,4.5,873 ,4.5,4.5,4.0,,,"Drinks, Lunch, Dinner","French, Bar, European, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options",Boro Bistro,https://www.tripadvisor.com/Restaurant_Review-g186338-d6956842-Reviews-Boro_Bistro-London_England.html,borobistro
219,5.0,109 ,4.5,5.0,5.0,,?9 - ?15,"Vegetarian Friendly, Vegan Options","Italian, Pizza, European",,Hungry Turtle,https://www.tripadvisor.com/Restaurant_Review-g186338-d12958913-Reviews-Hungry_Turtle-London_England.html,hungryturtle
221,4.5,477 ,4.5,5.0,4.5,"Our wine bar offers an experience from afternoon to night, beginning with a seasonal lunch set menu rolling into an evening offer of a mix of mains, small plates and sharing platters, which are source",?7 - ?30,"Vegetarian Friendly, Gluten Free Options, Vegan Options","Mediterranean, European, Contemporary, Wine Bar","Gift Cards Available, Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Humble Grape,https://www.tripadvisor.com/Restaurant_Review-g186338-d10183312-Reviews-Humble_Grape-London_England.html,humblegrape
222,4.5,928 ,4.5,5.0,4.0,,?42 - ?180,"Vegetarian Friendly, Gluten Free Options","Seafood, European, British",,Wiltons,https://www.tripadvisor.com/Restaurant_Review-g186338-d720941-Reviews-Wiltons-London_England.html,wiltons
223,4.5,479 ,4.5,4.5,4.5,,,"Breakfast, Lunch, Brunch","Cafe, European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",Cappadocia,https://www.tripadvisor.com/Restaurant_Review-g186338-d6503304-Reviews-Cappadocia-London_England.html,cappadocia
224,4.5,268 ,4.5,4.5,4.5,,?3 - ?15,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Cafe",,Arro Coffee - Bayswater,https://www.tripadvisor.com/Restaurant_Review-g186338-d11884748-Reviews-Arro_Coffee_Bayswater-London_England.html,arrocoffee-bayswater
225,4.5,275 ,5.0,5.0,4.5,,?36 - ?72,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British",,Lorne Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d12113945-Reviews-Lorne_Restaurant-London_England.html,lornerestaurant
226,4.5,282 ,4.5,4.5,4.5,"Zala Grill, a Middle Eastern restaurant specializing in Levantine pitas, Hummus Plates with grilled meats and Shakshuka (Slow cooked tomato sauce with runny poached eggs) at The West Yard Camden Lock ",?7 - ?19,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, Middle Eastern, Israeli","Delivery, Takeout, Seating, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Table Service, Outdoor Seating",Zala grill,https://www.tripadvisor.com/Restaurant_Review-g186338-d12375817-Reviews-Zala_grill-London_England.html,zalagrill
228,4.5,295 ,4.5,4.5,4.5,,,"Lunch, Dinner, Late Night","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Gluten Free Options, Vegan Options",Ciullosteria,https://www.tripadvisor.com/Restaurant_Review-g186338-d718523-Reviews-Ciullosteria-London_England.html,ciullosteria
230,4.5,881 ,4.5,4.5,4.5,,?25 - ?35,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Mediterranean, European, Turkish, Middle Eastern",,Ishtar,https://www.tripadvisor.com/Restaurant_Review-g186338-d733567-Reviews-Ishtar-London_England.html,ishtar
231,4.5,1352 ,4.5,4.5,4.0,"Our Kitchens Are Evolving. As we prepare to reopen our doors, we are committed to giving our guests a remarkable dining experience. We have therefore made several enhancements to our menus and service",?24 - ?48,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Peruvian, Mediterranean, European","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service","Monmouth Kitchen, Covent Garden",https://www.tripadvisor.com/Restaurant_Review-g186338-d10771430-Reviews-Monmouth_Kitchen_Covent_Garden-London_England.html,"monmouthkitchen,coventgarden"
232,4.5,1360 ,4.0,4.0,4.0,MESTIZO is the concept of a group of MexicanÃÂ¢ÃÂÃÂs to bring to London a restaurant-bar offering a fine and authentic Mexican cuisine. The name MESTIZO suggests ÃÂ¢ÃÂÃÂmezclaÃÂ¢ÃÂÃÂ or,?14 - ?29,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mexican, Latin, Central American","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Mestizo,https://www.tripadvisor.com/Restaurant_Review-g186338-d731546-Reviews-Mestizo-London_England.html,mestizo
233,4.5,1824 ,4.5,4.5,4.5,,?2 - ?8,Vegetarian Friendly,"Seafood, Fast Food, British",,Baileys Fish and Chips,https://www.tripadvisor.com/Restaurant_Review-g186338-d2719908-Reviews-Baileys_Fish_and_Chips-London_England.html,baileysfishandchips
235,5.0,119 ,4.5,4.5,4.5,,,"Breakfast, Lunch, Dinner, Brunch","Cafe, British","Vegetarian Friendly, Vegan Options",Double J's Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d3479969-Reviews-Double_J_s_Cafe-London_England.html,doublejscafe
236,4.5,289 ,4.5,4.5,4.5,,?5 - ?13,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Brazilian,,Senzala Creperie,https://www.tripadvisor.com/Restaurant_Review-g186338-d2697963-Reviews-Senzala_Creperie-London_England.html,senzalacreperie
237,4.5,1332 ,5.0,4.5,4.5,,?18 - ?36,Gluten Free Options,"Seafood, British, Healthy",,The Oystermen Seafood Bar & Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d12518072-Reviews-The_Oystermen_Seafood_Bar_Kitchen-London_England.html,theoystermenseafoodbar&kitchen
238,4.5,261 ,5.0,4.5,4.5,,,"Lunch, Dinner",Italian,"Vegetarian Friendly, Gluten Free Options",Cibo,https://www.tripadvisor.com/Restaurant_Review-g186338-d718512-Reviews-Cibo-London_England.html,cibo
239,4.5,501 ,4.5,4.5,4.5,,,"Lunch, Dinner","Italian, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Pizza Sophia,https://www.tripadvisor.com/Restaurant_Review-g186338-d4925053-Reviews-Pizza_Sophia-London_England.html,pizzasophia
240,4.5,248 ,4.5,4.5,4.5,,?20 - ?75,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian, Healthy",,Kahani,https://www.tripadvisor.com/Restaurant_Review-g186338-d15123539-Reviews-Kahani-London_England.html,kahani
241,4.5,240 ,4.5,4.5,4.5,,,"Brunch, Breakfast, Lunch, Dinner, Late Night, Drinks","Italian, Bar, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",Salento,https://www.tripadvisor.com/Restaurant_Review-g186338-d5433381-Reviews-Salento-London_England.html,salento
242,4.5,730 ,4.5,4.5,4.0,,?30 - ?85,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British",,Trinity Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d10410215-Reviews-Trinity_Restaurant-London_England.html,trinityrestaurant
243,4.5,522 ,4.5,4.0,4.0,"Everest Inn, Awarded for the best Nepalese Restaurant in the UK and winner of Asian Curry Awards and British Curry Award in the UK Your meal is prepared by award wining Chefs Shaker Pandey and his tea",?20 - ?49,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian, Nepali","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",Everest Inn - Blackheath Village,https://www.tripadvisor.com/Restaurant_Review-g186338-d731449-Reviews-Everest_Inn_Blackheath_Village-London_England.html,everestinn-blackheathvillage
244,4.5,891 ,4.5,4.5,4.0,"Niche is an independent restaurant serving seasonally-inspired crowd pleasers with a modern twist. Based in Angel, Islington, our 'niche' is a 100% gluten-free menu where everything is prepared and co",?24 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Healthy, Contemporary","Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Gift Cards Available, Reservations, Accepts Credit Cards, Table Service, Wi",Niche Gluten-free Dining,https://www.tripadvisor.com/Restaurant_Review-g186338-d4562632-Reviews-Niche_Gluten_free_Dining-London_England.html,nichegluten-freedining
245,4.5,1280 ,4.0,4.0,4.0,,?7 - ?17,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Caribbean, Jamaican",,Turtle Bay - Brixton,https://www.tripadvisor.com/Restaurant_Review-g186338-d8719866-Reviews-Turtle_Bay_Brixton-London_England.html,turtlebay-brixton
248,4.5,318 ,4.5,4.5,4.5,,,"Lunch, Dinner, Brunch, Drinks","Bar, British, Pub, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",Kings Stores,https://www.tripadvisor.com/Restaurant_Review-g186338-d3720830-Reviews-Kings_Stores-London_England.html,kingsstores
249,5.0,111 ,5.0,5.0,4.5,,,"Breakfast, Lunch, Brunch, Dinner","Cafe, Mediterranean, Middle Eastern, Israeli, Fast Food","Vegetarian Friendly, Vegan Options, Gluten Free Options",Falafel Feast,https://www.tripadvisor.com/Restaurant_Review-g186338-d12700680-Reviews-Falafel_Feast-London_England.html,falafelfeast
250,4.5,4017 ,4.5,4.5,4.0,,,"Lunch, Dinner, Brunch, Late Night","Steakhouse, European, British",Gluten Free Options,Steak & Co. Leicester Square Charing Cross,https://www.tripadvisor.com/Restaurant_Review-g186338-d1986500-Reviews-Steak_Co_Leicester_Square_Charing_Cross-London_England.html,steak&co.leicestersquarecharingcross
251,4.5,771 ,4.5,4.5,4.5,,?20 - ?60,"Vegetarian Friendly, Vegan Options, Gluten Free Options",British,,Town House,https://www.tripadvisor.com/Restaurant_Review-g186338-d1420213-Reviews-Town_House-London_England.html,townhouse
253,4.5,812 ,4.5,4.5,4.5,,?10 - ?26,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Bar, British, Pub, Gastropub",,The Wilmington,https://www.tripadvisor.com/Restaurant_Review-g186338-d1044781-Reviews-The_Wilmington-London_England.html,thewilmington
254,5.0,153 ,4.5,4.5,4.5,,?2 - ?12,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, European, Spanish",,Companero,https://www.tripadvisor.com/Restaurant_Review-g186338-d15711092-Reviews-Companero-London_England.html,companero
255,4.5,533 ,4.5,4.5,4.0,"Set against the unrivalled backdrops of Marble Arch and Hyde Park, Lanes of London serves British inspired menu using the finest seasonal and local produce in a welcoming and relaxed environment. It i",?22 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options",British,"Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Reservations, Table Service",Lanes of London,https://www.tripadvisor.com/Restaurant_Review-g186338-d1006016-Reviews-Lanes_of_London-London_England.html,lanesoflondon
256,4.5,273 ,4.5,4.5,4.5,The Maurizio Barca Restaurant is an Italian pasta and pizza restaurant. We want to share with customers our passion for the authenticity and the unique tastes of Italy.,?12 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Digital Payments, Table Service, Free Wifi",Maurizio Barca,https://www.tripadvisor.com/Restaurant_Review-g186338-d12789362-Reviews-Maurizio_Barca-London_England.html,mauriziobarca
257,4.5,259 ,4.5,4.5,4.5,,?2 - ?6,"Vegetarian Friendly, Gluten Free Options","Italian, Pizza, Fast Food",,Pizzetta Pizza,https://www.tripadvisor.com/Restaurant_Review-g186338-d8756059-Reviews-Pizzetta_Pizza-London_England.html,pizzettapizza
